State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
Georgia,Forsyth,0.0173036323816664,0.01060021200424,1.060021200424,1.7303632381666398,0.6703420377426399,"- **Forsyth, Georgia**: +0.7% (from 1.1% to 1.7%)"
Kentucky,Boone,0.0449576551144212,0.0382590712539951,3.8259071253995103,4.49576551144212,0.6698583860426099,"- **Boone, Kentucky**: +0.7% (from 3.8% to 4.5%)"
South Carolina,Charleston,0.021365471479394,0.0146800299056355,1.4680029905635499,2.1365471479394,0.6685441573758502,"- **Charleston, South Carolina**: +0.7% (from 1.5% to 2.1%)"
Florida,Seminole,0.0192214956696178,0.0125486295960452,1.25486295960452,1.92214956696178,0.6672866073572601,"- **Seminole, Florida**: +0.7% (from 1.3% to 1.9%)"
Alabama,Shelby,0.0249493216903165,0.018330301352527,1.8330301352527,2.49493216903165,0.6619020337789498,"- **Shelby, Alabama**: +0.7% (from 1.8% to 2.5%)"
Florida,Orange,0.0172714425920991,0.0106796481596067,1.0679648159606698,1.72714425920991,0.6591794432492402,"- **Orange, Florida**: +0.7% (from 1.1% to 1.7%)"
Arkansas,Craighead,0.0720221606648199,0.0654768939841626,6.547689398416261,7.20221606648199,0.6545266680657287,"- **Craighead, Arkansas**: +0.7% (from 6.5% to 7.2%)"
Michigan,Livingston,0.0295099507810828,0.0229852868313909,2.2985286831390903,2.95099507810828,0.6524663949691898,"- **Livingston, Michigan**: +0.7% (from 2.3% to 3.0%)"
Florida,Santa Rosa,0.0284665969477285,0.0219776273499362,2.19776273499362,2.84665969477285,0.64889695977923,"- **Santa Rosa, Florida**: +0.6% (from 2.2% to 2.8%)"
Iowa,Johnson,0.0736732920299402,0.0672175523578857,6.721755235788569,7.3673292029940205,0.6455739672054515,"- **Johnson, Iowa**: +0.6% (from 6.7% to 7.4%)"
Texas,Taylor,0.0438931297709923,0.0374393882879522,3.74393882879522,4.38931297709923,0.6453741483040103,"- **Taylor, Texas**: +0.6% (from 3.7% to 4.4%)"
